Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,team,Ht,Wt,Exp,PER,TS%,3PAr,AST%,STL%,BLK%,TOV%,USG%,OWS,WS,WS/48,BPM,OBPM,VORP,TRB%
Charles Barkley,PF,30,65,65,35.4,8.0,16.1,.495,0.7,2.7,.270,7.2,13.4,.541,.518,4.9,7.0,.704,3.0,8.1,11.2,4.6,1.6,0.6,3.2,2.5,21.6,1994/1995,PHO,6-6,252,9,22.8,.563,.170,20.0,2.2,1.0,14.2,26.5,5.6,8.8,.185,5.2,4.5,4.2,17.8
Dana Barros,PG,26,81,70,31.1,5.1,10.8,.469,1.7,4.4,.381,3.4,6.5,.529,.546,1.4,1.8,.800,0.3,2.1,2.4,5.2,1.3,0.1,2.1,1.2,13.3,1994/1995,PHI,5-11,163,4,16.0,.571,.403,27.2,2.1,0.1,15.1,19.1,3.9,4.7,.089,0.6,1.7,1.7,4.3
Jon Barry,SG,24,72,7,17.3,2.2,5.3,.414,0.4,1.6,.278,1.8,3.7,.472,.455,1.3,1.7,.795,0.5,1.5,2.0,2.3,1.4,0.2,1.2,1.5,6.2,1994/1995,MIL,6-4,195,1,14.6,.511,.301,21.0,4.2,0.9,16.0,18.1,0.8,2.1,.080,0.6,-1.2,0.8,6.8
John Battle,SG,31,51,1,16.0,2.5,5.4,.476,0.1,0.4,.263,2.5,5.0,.492,.485,1.4,1.9,.753,0.1,0.6,0.8,1.6,0.4,0.0,0.8,1.3,6.6,1994/1995,CLE,6-2,175,8,12.2,.535,.070,16.2,1.4,0.1,11.5,19.6,0.9,1.4,.084,-2.7,-1.7,-0.1,2.8
Benoit Benjamin,C,29,77,74,23.6,3.7,7.6,.480,0.0,0.0,0,3.7,7.6,.480,.480,2.0,2.8,.710,1.8,4.7,6.5,0.6,0.5,1.2,1.3,2.6,9.3,1994/1995,NJN,7-0,250,8,14.2,.525,.000,3.8,1.0,3.1,12.4,18.1,1.4,4.1,.107,-2.1,-2.0,0.0,14.5
Tony Bennett,PG,24,74,5,13.3,1.4,3.6,.399,0.4,1.0,.360,1.1,2.5,.415,.451,0.1,0.2,.733,0.2,1.0,1.2,2.2,0.5,0.0,0.5,1.1,3.4,1994/1995,CHH,6-0,175,1,9.9,.460,.285,22.2,2.0,0.1,12.9,13.4,0.5,0.9,.045,-2.1,-1.9,0.0,5.1
David Benoit,SF,25,55,18,19.5,2.5,6.6,.385,0.2,1.1,.203,2.3,5.5,.421,.402,1.2,1.6,.773,1.6,3.1,4.7,0.4,0.4,0.7,0.7,2.1,6.5,1994/1995,UTA,6-8,220,2,10.9,.448,.163,3.2,1.1,2.4,8.5,18.1,0.1,1.6,.072,-3.5,-2.4,-0.4,14.0
Rolando Blackman,SG,34,55,1,17.6,2.9,6.7,.436,0.5,1.5,.357,2.4,5.2,.460,.477,0.9,1.0,.906,0.4,1.3,1.7,1.4,0.5,0.1,0.8,1.8,7.3,1994/1995,NYK,6-6,190,12,11.3,.510,.228,12.7,1.3,0.4,10.1,19.7,0.9,2.4,.118,-1.5,-1.8,0.1,5.4
Mookie Blaylock,PG,26,81,81,36.0,5.5,13.3,.411,1.4,4.2,.334,4.1,9.1,.447,.464,1.4,2.0,.730,1.4,3.8,5.2,9.7,2.6,0.5,2.4,1.8,13.8,1994/1995,ATL,6-0,180,4,19.6,.487,.316,40.4,3.7,1.0,14.6,19.8,4.9,10.2,.168,5.7,3.4,5.7,8.0
Corie Blount,PF,25,67,8,10.3,1.1,2.6,.437,0.0,0.0,0,1.1,2.6,.437,.437,0.7,1.1,.613,1.1,1.8,2.9,0.8,0.3,0.5,0.8,1.4,3.0,1994/1995,CHI,6-9,240,R,12.3,.478,.000,11.4,1.4,3.3,20.1,16.6,0.0,1.2,.085,-2.3,-3.2,0.0,16.5
Muggsy Bogues,PG,29,77,77,35.7,4.6,9.8,.471,0.0,0.2,.167,4.6,9.6,.476,.473,1.6,2.0,.806,1.0,3.1,4.1,10.1,1.7,0.0,2.2,1.9,10.8,1994/1995,CHH,5-3,136,6,16.2,.510,.016,39.2,2.4,0.0,17.3,15.4,4.8,6.4,.112,1.1,1.4,2.1,6.3
