Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Kevin Duckworth,C,29,WSB,69,52,21.5,2.7,6.4,.417,0.0,0.0,,2.7,6.4,.417,.417,1.3,1.9,.667,1.5,3.2,4.7,0.8,0.5,0.5,1.5,3.2,6.6,1994/1995
Chris Dudley,C,28,POR,6,3,14.3,1.0,4.2,.240,0.0,0.0,,1.0,4.2,.240,.240,0.3,0.7,.500,2.7,1.3,4.0,0.8,0.7,0.5,0.3,3.0,2.3,1994/1995
Joe Dumars*,SG,30,DET,69,69,37.6,7.3,16.2,.452,1.8,4.6,.388,5.5,11.6,.477,.507,4.0,4.8,.836,0.5,1.7,2.2,3.8,0.9,0.1,2.3,1.7,20.4,1994/1995
Acie Earl,C,23,BOS,74,8,15.5,2.0,5.0,.406,0.0,0.0,.000,2.0,5.0,.407,.406,1.5,2.2,.675,1.1,2.2,3.3,0.2,0.3,0.7,1.0,2.4,5.5,1994/1995
Bill Edwards,PF,22,PHI,3,0,14.7,0.7,6.0,.111,0.0,1.7,.000,0.7,4.3,.154,.111,0.7,1.7,.400,1.7,3.0,4.7,1.3,1.0,0.3,1.3,2.0,2.0,1994/1995
Blue Edwards,SF,28,MIL,82,64,28.3,4.7,9.8,.478,0.5,1.3,.358,4.2,8.5,.496,.501,1.8,2.3,.799,1.3,2.7,4.0,2.1,1.0,0.3,1.8,2.9,11.6,1994/1995
Doug Edwards,PF,23,ATL,16,0,6.7,1.1,3.1,.347,0.0,0.1,.000,1.1,3.0,.354,.347,0.6,1.0,.563,0.4,0.7,1.1,0.5,0.1,0.3,0.4,0.6,2.7,1994/1995
James Edwards,C,38,LAL,45,2,10.4,1.7,3.7,.464,0.0,0.0,,1.7,3.7,.464,.464,1.2,1.8,.684,0.2,1.2,1.4,0.5,0.1,0.1,0.7,2.0,4.7,1994/1995
Kevin Edwards,SG,28,NJN,82,82,33.3,5.7,12.5,.458,0.4,1.2,.354,5.3,11.3,.469,.475,2.0,2.6,.770,1.1,2.3,3.4,2.8,1.5,0.4,1.6,1.8,14.0,1994/1995
Craig Ehlo,SG,32,ATL,82,0,26.2,3.9,8.6,.446,0.9,2.7,.348,2.9,5.9,.491,.501,1.4,1.9,.727,0.9,2.5,3.4,3.3,1.7,0.3,1.6,2.0,10.0,1994/1995
Mario Elie,SF,30,HOU,67,8,24.0,3.1,7.0,.446,0.8,2.5,.335,2.3,4.5,.508,.506,2.3,2.7,.860,0.4,2.3,2.7,3.1,0.7,0.1,1.6,1.9,9.3,1994/1995
Sean Elliott,SF,25,DET,73,73,33.0,4.9,10.8,.455,0.4,1.2,.299,4.6,9.6,.474,.472,1.9,2.4,.803,0.9,2.7,3.6,2.7,0.7,0.4,1.8,2.4,12.1,1994/1995
Dale Ellis,SF,33,SAS,77,75,33.6,6.2,12.6,.494,1.7,4.3,.395,4.5,8.2,.546,.562,1.1,1.4,.776,0.9,2.4,3.3,1.0,0.9,0.1,1.0,1.8,15.2,1994/1995
Harold Ellis,SF,23,LAC,49,16,18.8,3.2,6.0,.545,0.0,0.1,.000,3.2,5.9,.552,.545,2.2,3.0,.711,1.9,1.2,3.1,0.6,1.5,0.0,0.9,2.0,8.7,1994/1995
LaPhonso Ellis,PF,23,DEN,79,79,34.2,6.1,12.2,.502,0.1,0.3,.304,6.0,11.9,.506,.505,3.1,4.5,.674,2.8,5.8,8.6,2.1,0.8,1.0,2.2,3.8,15.4,1994/1995
LeRon Ellis,C,24,CHH,50,1,13.6,1.8,3.6,.484,0.0,0.0,,1.8,3.6,.484,.484,0.9,1.4,.662,1.4,2.4,3.8,0.5,0.3,0.5,0.4,1.7,4.4,1994/1995
Pervis Ellison,C,26,WSB,47,24,25.1,2.9,6.2,.469,0.0,0.1,.000,2.9,6.1,.474,.469,1.5,2.1,.722,1.6,3.5,5.1,1.5,0.5,1.1,1.6,3.0,7.3,1994/1995
Jo Jo English,SG,23,CHI,36,0,11.6,1.6,3.6,.434,0.2,0.5,.471,1.3,3.1,.429,.465,0.3,0.6,.476,0.3,1.0,1.3,1.1,0.2,0.3,1.0,1.7,3.6,1994/1995
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1994/1995
Patrick Ewing*,C,31,NYK,79,79,37.6,9.4,19.0,.496,0.1,0.2,.286,9.4,18.8,.498,.497,5.6,7.4,.765,2.8,8.4,11.2,2.3,1.1,2.7,3.3,3.5,24.5,1994/1995
